name	code
Matcon Biocell Design	PRJ24061
Kruger Mill - Infrastructure Inventory Mapping	PRJ24062
Squamish Landfill Engineering Support (July 2024 to June 2026)	PRJ24063
Squamish Landfill - As Required Landfill Management and Environmental Monitoring Support	PRJ24064
RDKS Landfill Airspace Analysis	PRJ24065
Smithers & RDBN Organics Study	PRJ24066
Grassland Organics - Compost Monitoring	PRJ24067
RDEK Environmental Monitoring - Year 5	PRJ24068
Oliver Landfill - Supplementary LFG Assessment	PRJ24069
OK Falls - Supplementary LFG Assessment	PRJ24070
TteS Archeology Office Pad Design	PRJ24071
Nakusp Landfill Fill to Closure and Closure Planning	PRJ24072
RDN New Landfill Sitting	PRJ24073
Northwin Landfill 2024 Engineering	PRJ24074
SCRD Vertical Expansion	PRJ24075
Squamish Landfill Lateral Expansion Technical Report	PRJ24076
Squamish Transfer Station (Area 1 and 2)	PRJ24077
Squamish Landfill Transfer Station Layout (Area 4)	PRJ24078
OK Falls Landfill - Overfill Review	PRJ24079
Quesnel Landfill - 5-year Annual Reporting	PRJ24079
Lillooet Landfill - New Contractor Orientation	PRJ24081
Houweling Nurseries Pond - Delta	PRJ24081
Cobble Hill Reconontouring for Ralmax	PRJ24083
Creston Landfill Filling Plan - Contractor Review	PRJ24084
TteS Archaeology Office - Geotechnical Investigation	PRJ24085
Kamloops Landfills Conformance Reviews	PRJ24086
Mission Flats Landfill - LFG Expansion 2025	PRJ24087
RDOS Landfills - Capital Costing Update	PRJ24088
Yukon Wovermine Mine Landfill Feasibility	PRJ24089
Rupert Liquid Waste Disposal Form	PRJ24090
Taylor Landfill Closure Planning	PRJ24091
RDFFG Aerial Survey Services	PRJ24092
Campbell Mtn Landfill - UBCiModel	PRJ24093
Gibraltar Landfill 2024 Survey & Expansion and Closure Costs	PRJ24094
Alberni Clayoquot Regional District Site Survey 2024	PRJ24095
7-Mile Landfill Supplementary LFG Assessment	PRJ24096
Iskut Landfill Fill Plan Update	PRJ24097
RDKB Landfill Conformance Reviews	PRJ24098
Sampling to Determine Cokato Water Use	PRJ24099
Squamish Landfill Lifespan Impact	PRJ24100
RDNO Armstrong Spallumcheen Diversion & Disposal Facility Phase 2 Closure Design	PRJ24101
7-Mile Landfill-Operations Brief for RFP	PRJ24102
Fort Nelson Dumpsite Remediation	PRP20102
Inter River Park Monitoring 2020	PRP20103
Revised Atlantic Power Investigation and Closure Plan	PRP20104
Atlantic Power Storm Water Management Plan	PRP20106
Third Street Landfill Monitoring 2020	PRP20111
Hope Landfill Monitoring 2020	PRP20112
7 Mile Landfill 2019 Annual Report	PRP20114
RDNO Leachate Storage Pond	PRP20115
Howe Sound Pulp and Paper Composting Feasibility	PRP20116
RDFFG Well Field Review and Expansion Foothills Boulevard Regional Landfill	PRP20117
RDEK Groundwater Monitoring 2020-2025 (SHA portion of budget for 2020)	PRP20118
Campbell Mtn Landfill - Leachate Management	PRP20119
AVL and WCL annual operations reports and WCL Economic Analysis	PRP20120
Kamloops Quarterly Aerial Surveys	PRP20123
Domtar Landfill Construction Support Services	PRP20124
Oliver Landfill DOCP and Organics	PRP20127
Quesnel LFG Probe Installation	PRP20129
Salmon Arm - Ph.3 Bulk Excavation Support	PRP20130
7 Mile Landfill Conformance Review	PRP20131
Meziadin Landfill Expansion	PRP20133
Nanaimo Lift Station	PRP20134
KWL Waste Audit Portion of Cowichan Tribes SWMP PRP	PRP20136
Squamish Landfill DOCP Amendment - LFG Management	PRP20138
Squamish Monitoring Q1 2020	PRP20139
Canlava Mine Landfill Permitting	PRP20140
Mission Flats LFG System Expansion Design and QA/QC	PRP20142
Squamish Landfill Comprehensive Engineering services	PRP20145
DOCP South Cariboo Landfill	PRP20149
Chetwynd Landfill Scale	PRP20150
Cheam DOCP Update	PRP20152
Chetwynd Landfill Ph.B Closure Construction Services 2020	PRP20153
Woodfibre LNG Landfill Engineering 2020	PRP20154
Kaien Island Fill Site-Prince Rupert	PRP20155
7 Mile Landfill DOCP	PRP20157
Hartland 2020 Liner Design	PRP20160
Forceman LFG Generation Assessment Report	PRP20161
HSPP Finger Drain Study	PRP20162
Golden Landfill Surface Water Mgmt Design	PRP20165
West Coast Landfill Leachate Treatment System Upgrades	PRP20166
RDEK Landfill Volumetric Tracking	PRP20167
SCRD Future Waste Disposal Options	PRP20168
RDFFG Generic Closure Plan  for Rural Landfill Sites	PRP20169
CSWM Organics Facility Detailed Design	PRP20172
Cheam Landfill Closure Plan and Leachate Treatment Plan	PRP20175
Mission Flats Landfill LFG Monitoring 2021	PRP20176
Ashcroft Treating Monitoring 2020	PRP20178
Whistler Landfill Post-Closure Monirtoring Program	PRP20179
Lillooet Landfill Annual Report	PRP20181
SLRD Transfer Station Design	PRP20182
Hartland Landfill IEPA Modelwith Earth Fx	PRP20183
Maplewood Site Remediation	PRP20184
Quesnel Landfill - LFG Investigation and Mitigation Strategy	PRP20185
Kitwanga Landfill Closure Plan and Report	PRP20186
Skway Landfill Contaminating Lifespan Analysis	PRP20187
CRD Surveys	PRP20188
RDOS OK Falls Master Plan and DOCP	PRP20189
Iskut Landfill Feasibility Assessment	PRP20190
Fortis Okanagan Capacity Upgrade - at CML for RDOS	PRP20191
CVRD Campbell River Management Centre Closure Design	PRP20192
Atlantic Power - 2021 Proposals - Closure-SW-Monitoirng	PRP20193
Vancouver Landfill - Consultant for End Use Planning	PRP20194
CVRD Engineering Services for Cell Design	PRP20195
Campbell Mtn Landfill - DOCP Update & Master Plan	PRP20196
HVC Design and Permitting	PRP21108
Gibraltar Mine Tire Impacts	PRP21111
Third Street Landfill Monitoring 2021	PRP21113
Thornhill LFG Flare 2020 GHG Quantification and Annual Service	PRP21114
Meadowland Monitoring 2021	PRP21116
DSS Monitoring 2021	PRP21117
Prince Rupert Landfill Closure	PRP21122
Central Landfill - Phase B Concept Design and Costing	PRP21127
Inter River Monitoring 2021	PRP21131
Quesnel Landfill - Phase 1 Berm Design	PRP21132
Hartland Landfill DOCP	PRP21134
Forceman Landfill Phase 1 Cell Expansion	PRP21135
Whistler LFG Migration Assessment	PRP21137
Everett Crowley Park Vancouver - Leachate Breakout	PRP21138
Lower Nicola BioCover 2020 GHG Report	PRP21139
Heffley Creek BioCover 2020 GHG Report	PRP21140
Prince Rupert Phase 1 West Filling Plan	PRP21141
6760 62B Street Soil Deposition Permit	PRP21142
Quesnel Landfill LFG Migration Control	PRP21143
RDKS RFP Assistance	PRP21145
Cheam Landfill Leachate Treatment System Detailed Design	PRP21146
Prince Rupert DOCP Update	PRP21147
RDEK Central Subregion Landfill DOCP Update and Conformance Review	PRP21152
City of Terrace Landfill Interim Landfill Leachate Design	PRP21156
CSRD Columbia Shuswap Solid Waste Economic Review	PRP21157
7 MileLandfill Contaminateing Lifespan Analysis	PRP21158
Whitecourt Landfill - Slope Cutback and Regrade Design and Contract Admin	PRP21162
Aerial Mapping Data Analysis	PRP21163
Woodfibre LNG Landfill Closure	PRP21164
KRRC Lateral Expansion Preliminary Design	PRP21167
Quesnel Landfill DOCP	PRP21174
Invermere Transfer Station Design	PRP21177
Gibraltar Mine Landfill LFG Investigations and Training	PRP21180
Squamish LFG O&M Manual and Training	PRP21181
Lillooeet Landfill DOCP for SLRD	PRP21182
Squamish LF Optimization - DOCP Fill Plan and Capital Plan Update	PRP21183
Squamish Request for Supplier Qualifications	PRP21188
SCRD Solid Waste Management Plan Update	PRP21189
Lillooet Annual Report 2021	PRP21190
RDCK Request for Standing Offers	PRP21193
Canfor Canal Flats Landfill Closure Plan	PRP21194
8662 River Road - Well Design and Drainage	PRP21195
CSRD SWMP Effectiveness Review	PRP21196
Haines Junction SWMP	PRP22101
PRRD Solid Waste Tipping Fee Review	PRP22111
HVC Annual Report 2021	PRP22112
Aerial Survey Landfill DEM records	PRP22131
RDEK Legacy Site Assessments	PRP22140
Summerland DOCP and Master Plan	PRP22143
Barnhartvale DOCP	PRP22145
SLRD Water Quality Monitoring	PRP22147
SCRD SWMP Update	PRP22148
VLF DOCP Update	PRP22154
Whitecourt Phase B Expansion	PRP22158
CRD Call for Credentials	PRP22165
CCRD SWMP 5 Year Effectiveness Review	PRP22169
Bailey Landfill Aerial Photography and Survey	PRP22170
RDNO SWMP Update	PRP22171
GVDDF Scale Upgrade Project	PRP22174
RDOS Environmental Monitoring Reporting	PRP22175
Coquitlam Landfill Comprehensive Environmental Services	PRP23101
CRD Options Analysis for Wastewater Treatment Burgoyne Septage Facility	PRP23102
Bailey Landfill NE Wedge Liner Extension Design Build	PRP23103
RDKS RFQ Solid Waste 2022 EEMP Annual reports	PRP23106
Meziadin Landfill Wetland Design and Construction Services	PRP23108
CoK Barnhartvale and Owl Road Landfill Supplementary LFG Generation Assessment	PRP23109
MetroVancouver SWMP Update	PRP23110
LFG Investigation - China Creek South Skatepark Upgrades	PRP23112
CRD Call for Credentials	PRP23117
Inter River Monitoring	PRP23118
Opportunities with Matcon	PRP23120
Third Street Monitoring 2023	PRP23121
Squamish Landfill Monitoring and Operations Reporting	PRP23123
Eskay Creek Landfill Preliminary Proposal	PRP23126
Biocover Feasibility Study Sechelt Landfill Phase 2 (Pilot)	PRP23127
RDCK LFG Generation Assessements (Creston, Central, Ootischenia)	PRP23129
RDCK Transfer Station Upgrades (Rosebery, Slocan, Nakusp)	PRP23130
Foothills Blvd Regional Landfill Cell Two Development	PRP23132
RDOS Compost Facility Design	PRP23140
Devine Transfer Station Facility Assessment	PRP23141
Lillooet Landfill Facility Assessment	PRP23142
Sint Maarten DOCP (EOI)	PRP23144
Coquitlam Landfill Flare Station Design Services	PRP23145
Skway Landfill Flare Service	PRP23146
Quesnel DOCP, Annual Report and LFG Generation Assessment	PRP23147
Squamish Well Repairs	PRP23148
Alpha Landfill (Pond Rebuild)	PRP23150
Islands Landfill DOCP	PRP23151
Taylor Landfill Closure	PRP23152
Durham Region Sustainability Policy (sub)	PRP23153
Campbell Mtn Landfill - North Ravine Berm Design	PRP23154
UBC Compost Facility Conceptual Design	PRP23155
Skway Landfill Flare 2024 Quartely Inspections	PRP23156
Squamish LFG System Expansion Construction Support	PRP23157
RDN Request for Qualifications	PRP23159
Campbell Mtn Landfill - GMW Decommissioning	PRP23160
Arrow Composting - Impermeable Surface Analysis Review	PRP23161
Hydrogeology and Hydrology Characterization Study for Central Landfill	PRP23162
Cranberry Landfill Permitting	PRP23163
Kruger Inclinometer Casing Extension	PRP23164
Haida Gwaii Wood Waste Site Closure for A&A Trading	PRP23165
Bailey Landfill Fill Plan	PRP23166
Bailey Landfill Fill Plan	PRP24101
Kamloops Landfills Aerial Surveying 2024	PRP24102
2024 Well Field Review and Expansion - Foothills Boulevard Regional Landfill	PRP24103
Islands Landfill 2024	PRP24104
Cariboo CRD Site Surveys	PRP24105
Oliver Landfill - Fill Plan	PRP24106
GOSH - Environmental Monitoring	PRP24107
Port Mann Landfill Redevelopment	PRP24108
7 Mile Landfill 2023 Annual Report	PRP24109
Kruger Flood Mitigation Dike	PRP24110
Cariboo CRD Site Surveys - 11 Sites	PRP24111
Squamish Landfill Lateral Expansion - 25% Design	PRP24112
Thornhill Landfill Flare Service and 2023 GHG Quantification	PRP24113
Consulting Services for Eastview Landfill Gas Plan	PRP24114
Third Street Monitoring 2024	PRP24115
Meadowland Monitoring 2024	PRP24116
DSS Monitoring 2024	PRP24117
Nakusp WWTP Liner Supply and Install to Former Infiltration Basins	PRP24118
Wasa Phase 2 ESA 2024	PRP24119
Delta Compost Facility- InspectionsCalculations and Reports	PRP24120
Columbia Valley Landfill Progressive Closure	PRP24121
RDKS Landfill Feasibility Study	PRP24122
Hope Monitoring 2024	PRP24123
Campbell Mtn Landfill - Test Pitting Investigation	PRP24124
Campbell Mtn - Baseline Biocover Scan	PRP24125
Sparwood Z-Wall Design	PRP24126
Whitecourt DOCP Update	PRP24127
Whitecourt Phase 2A Fill Plan	PRP24128
CRD RFEOI Disaster Debris Management Planning	PRP24128
Kitwanga Landfill Closure	PRP24130
Vancouver Landfill Capity Max for Metro Vancouver	PRP24131
HVC 2040 Permitting Support 2024	PRP24132
Indigenous Professional Services Inc - Land Development Support	PRP24134
Lillooet Landfill - MW Install Administrtation	PRP24135
RDMW SWMP Review	PRP24136
HVC Annual Report 2023	PRP24137
Teck Master Service Agreement - MA review	PRP24138
GVDDF Leachate Pond Dam Spillway	PRP24139
Environmental Services for BC Transit	PRP24140
RDCK Transfer Station	PRP24141
Woodfibre LNG Construction Laydown	PRP24142
Haines Junction Landfill Roadworks	PRP24143
Islands Landfill DOCP	PRP24144
New Westminster SWMP	PRP24145
RDBN Organics Feasibility Study	PRP24146
Squamish Landfill Engineering Support	PRP24147
Squamish Waste Composition Audit	PRP24148
Quesnel Landfill Strategic Planning	PRP24148
VLF Flare Stations Upgrade	PRP24150
Calgary Engineering Consulting	PRP24151
GFL Litter Fence	PRP24152
Matcon Biocell Design	PRP24153
RDN New Landfill Siting	PRP24154
SCRD Vertical Expansion and Waste Export Feasibility Study	PRP24155
Kruger Mill - Infrastructure Inventorying Mapping	PRP24156
FVRD MSW Disposal Capacity Study	PRP24157
NPEP Bahamas Engineering Services	Prp24158
ACRD NG 911	PRP24159
Squamish Landfill Lateral Expansion Technical Report	PRP24160
Dawson City Soil Treatment Facility	PRP24161
Nakusp LF_Fill to Closure	PRP24162
RDKS Landfills Airspace Analysis	PRP24163
Kamloops Landfill - Conformance Reviews	PRP24164
Mission Flats LF - LFG Collection System Design and Construction	PRP24165
Oliver Landfill - Supplementary LFG Assessment	PRP24166
OK Falls Landfill - Supplementary LFG Assessment	PRP24167
Athabasca County Landfill Site Assessments	PRP24168
Northwin Landfill Engineering 2024	PRP24169
TNRD Five-Year Effectiveness Review of the 2018 Regional Solid Waste Management Plan	PRP24170
Abbotsford Curbside Waste Composition Study	PRP24171
CRD Hartland Intersection Improvement	PRP24172
RDFFG Engineering Services	PRP24173
District of Squamish Transfer Station Improvments	PRP24174
CVRD Environmental Monitoring and Annual Reporting	PRP24175
Quesnel Landfill - Annual Report - 5-year term	PRP24176
OK Falls Landfill - Overfill Review	PRP24177
Grande Prairie Landfill Expansion and Closure Planning	PRP24178
Aerial Survey Services RDFFG 2024 George	PRP24179
Yukon Wolverine Mine Landfill Project	PRP24180
Clearview Landfill Expansion	PRP24181
Everett Crowley Landfill	PRP24182
CRD Hartland Monitoring	PRP24183
Campbell Mountain LF - UBCiModel Calibration_biocover Rnd 1	PRP24184
Sampling to Support Water Use Determination - Cokato	PRP24184
RDKB Landfill Criteria Conformance Reviews and Upgrading Plans	PRP24186
RDNO Armstrong Spallumcheen Diversion & Disposal Facility Phase 2 Closure Design	PRP24187
Prince Rupert Leachate Treatment	PRP24188
Calgary LFG	PRP24189
Guyana EMGL New Landfill	PRP24190
Iskut Landfill Design Review for new Tenure	PRP24191
RDCK Monitoring	PRP24192
RDKS Forceman Landfill Cell 1C Design	PRP24193
7-Mile Landfill Supplementary LFG Assessment	PRP24194
VLF Landfill Gas System Design and Contract Administration	PRP24195
Elkford Transfer Station - Phse 2 ESA	PRP24196
Bailey Landfill Regulatory Reports	PRP24197
Gas Collection and Control Systems at Taylor Park	PRP24198
Civil Engineering Expert Report	PRP24199
Biocell for Sunridge Contracting	PRP24200
Chase Collection Service Business Case	PRP24201
Meziadin Landfill Expansion and Temporary Closure	PRP24202
CRD Waste Area Guidelines	PRP25120
Saint Lucia Landfill Project	PRP25125
TNRD Landfill Consulting	PRP25129
Nanaimo Landfill Phase 3 Southeast Berm Design	PRP25133
Forcemman Ridge Waste Management Facility Survey	PRJ25024
RDN Standing Offer	PRP25144
Mission Flats Landfill Progressive Closure Design and Construction	PRJ25023
Squamish Landfill Lateral Expansion Access Road Construction	PRJ25041
RDN Phase 3 PreDesign	PRJ25060
CCRD Engineering Services	PRP25178
Columbia Valley Landfill - DOCP Update	PRJ25029
Golden Landfill DOCP Update 2025	PRJ25032
Ridge Meadows Recycling Depot Traffic Management Plan	PRJ25066
HVC Lornex Landfill - Overhaul and Transport RFP	PRP25180
River City Discharge	PRP25186
HVC Lornex Landfill - Overhaul and Transport and Tip RFP	PRJ25076
River City Fiber - Compliance Support	PRJ25080
Thompson Landfill Study	PRP25188
PRRD Waste Collection Assessment Study	PRP25194
Creston Landfill - Phase 1C&D Closure Design	PRJ25064
Bailey Landfill Regulatory Reports	PRJ25020
Vancouver Parks Consulting	PRP25123
CCRD Engineering Services	PRJ25099
Astria Building Design Services	PRJ26031
Astria Properties JPD  Miller	PRP26117
Livingstone Park Turf Field Renewal	PRJ26035
SLRD GIS Strategic Plan	PRP26122
City of Kelowna - Municipal Infrastructure Consulting	PRP26128
Tseshaht ACRD Landfill Siting	PRJ26040
Maple Ridge Geohazard Mapping	PRP26140
Terrace Bay Airspace	PRP26146
Squamish Landfill Phase 2 LFG Expansion	PRJ25040
UBC Conceptual Composting Facility Design and Cost Estimate Update	PRJ26042
Ootischenia Transfer Station Design and Construction	PRJ26058
Gracia Landfill South Closure	PRJ26068
Discharge from 9250 River Rd, Delta Site (Permit 100997 and 101180)	PRJ26010
