name	code
Prince Rupert Quarry Expansion – 2020	PRJ20071
MoTI Waste Relocation - River Road	PRJ20072
Consolidated Landfill 688147 Construction QA/QC	PRJ20073
Consolidated Landfill Gracia Construction QA/QC	PRJ20074
RDEK Landfill Volumetric Analysis 2020	PRJ20075
Hartland Willis Point Access Analysis	PRJ20076
Golden Landfill Surface Water Design	PRJ20077
Yukon Municipal Landfill Closure and Post Closure Costs	PRJ20078
HVC Engineering Support	PRJ20079
Skway Landfill Volume Analysis	PRJ20080
BC Hydro Penstock Trench Dredgeate Storage Methane Generation Assessment	PRJ20081
Whitecourt Landfill - Drone Survey	PRJ20082
Domtar Landfill Construction Support Services	PRJ20083
SWANA MOLO Course	PRJ20084
CVRD Compost Facility and Transfer Station Design- Phase 1	PRJ20085
West Coast Landfill Leachate Treatment System Upgrades Conceptual Design	PRJ20086
Kitwanga Landfill Closure Plan Update	PRJ20087
Cheam Landfill Leachate Plan	PRJ20088
Prince Rupert Landfill Expansion Phase 2A	PRJ20089
Koppers Ashcroft Monitoring 2020	PRJ20090
Kaien Island Organic Soil Landfill Design Operations and Closure Plan	PRJ20091
DSS Landfill Flare Monthly Inspection and Monitoring	PRJ20092
Summerland Annual Report 2020	PRJ20093
Hartland 2020 Liner Design	PRJ20094
RDKS Drone Surveys 2020	PRJ20095
Quesnel Landfill - LFg Migration Probe Monitoring	PRJ20096
Mission Flats Landfill - LFG Monitoring 2021	PRJ20097
ACRD Site Surveys	PRJ20098
Coquitlam LFG Sampling	PRJ20099
Skway Landfill Contaminating Lifespan Analysis	PRJ20100
Quesnel Landfill Annual Report 2020	PRJ20101
Lillooet Landfill Annual Report 2020	PRJ20102
Squamish Landfill Airspace Optimization	PRJ20103
Atlantic Power - Phase 2 Closure Plan	PRJ20104
Atlantic Power - 2021 Annual Report	PRJ20105
Atlantic Power - SW MGMT Retainer	PRJ20106
Central Landfill - Lateral Expansion Concept and Costing	PRJ20107
Prince Rupert Organics Grant Application	PRJ20108
Value of Airspace Analysis - PRRD Landfills	PRJ20109
Central Landfill - Phase B Concept Design and Costing	PRJ21001
Mission Flats Landfill LFG Monitoring 2021	PRJ21002
CRD Site Surveys	PRJ21003
Thornhill Landfill Closure Assessment	PRJ21004
Inter River Monitoring 2021	PRJ21008
Meadowland Monitoring 2021	PRJ21010
DSS Monitoring 2021	PRJ21011
Creston Survey Processing Support	PRJ21012
CML Master Plan and DOCP	PRJ21013
Forceman Monitoring Report 2020	PRJ21014
Hazelton Monitoring Report 2020	PRJ21015
Ridley Quarries Master Plan	PRJ21016
Gibraltar Mines Tire Impact Assessment	PRJ21017
MFL - Aggregate Exploration Plan	PRJ21018
Squamish LF North Slope Surface Scan	PRJ21019
Nanaimo Landfill LFG Dispute Resolution	PRJ21020
Port Metro Lagoons SNC Support 2021	PRJ21021
Meadowland  South MSE Wall	PRJ21022
7 Mile 2020 Annual Report	PRJ21023K
Green Turtle Cay Proposal	PRJ21024
Domtar Aerial Survey - South Property	PRJ21025
Mission Flats Landfill CO Probe Installation	PRJ21026
Highland Valley Landfill Permitting	PRJ21027
Hope LF Monitoring 2021	PRJ21028
Old Cranbrook Flare Inspection 2021	PRJ21029
MFL Survey Support	PRJ21030K
Cheam Landfill Closure Plan	PRJ21031
Thornhill LFG Flare Service & 2020 GHG Quantification	PRJ21032
Phase 1 Environmental for Acres Enterprises Ltd.	PRJ21033K
Prince Rupert Landfill 2020 Water Quality Report	PRJ21034
Whitecourt Landfill Survey and Volumetrics	PRJ21035K
Central Landfill Expansion Design and Construction Services	PRJ21036K
Quesnel Landfill LFG Migration Control	PRJ21037
Whistler Landfill LFG Migration Assessment	PRJ21038
Vancouver Landfill End Use Planning	PRJ21039
Kentron Concrete Batch Plant	PRJ21040
Lower Nicola BioCover 2020 GHG Report	PRJ21041
Heffley Creek BioCover 2020 GHG Report	PRJ21042
Hampton Forest Products	PRJ21043
Islands Landfill Monitoring and Engineering Support	PRJ21044
Taan Forest Products	PRJ21045
South Cariboo Landfill Fill Plan	PRJ21046
Howe Sound Pulp and Paper 2021 Engineering	PRJ21047
Fortis Okanagan Capacity Upgrade - at CML	PRJ21048K
Quesnel Landfill - Phase 1 Perimeter Berm Design	PRJ21049K
Prince Rupert Phase 1 East Face Closure	PRJ21050
Prince Rupert Phase 1 West Filling Plan	PRJ21051
Prince Rupert Master Plan and DOCP Update	PRJ21052
RDKS Recycling RFP Assistance	PRJ21053
Revelstoke Progressive Closure Design	PRJ21054K
Gibraltar Landfill Leachate Management Plan Update	PRJ21055
Cheam Landfill Leachate Treatment System Design and QA/QC	PRJ21056
RDOS Buyers Team Support	PRJ21057
Prince Rupert Landfill CAD Shared Surfaces (no budget)	PRJ21058
Vancouver Everett Crowley Park - Leachate Seep	PRJ21059
Forceman Landfill Compaction Survey 2021	PRJ21060
Forceman Ridge Bearfence and Gates ITT Support	PRJ21061
Squamish GFL Fill Plan Support	PRJ21062
Vancouver Alternate Access Study	PRJ21064
Emterra Proposal Assistance	PRJ21065
CSRD Economic Analysis for SWMP	PRJ21066K
Squamish LFG Skid Installation RFQ	PRJ21067
City of Terrace Interim Leachate Treatment System	PRJ21068
Lillooet Landfill Criteria Buffer Mapping	PRJ21069K
7 Mile Landfill Contaminating Lifespan Analysis	PRJ21070K
PRRD Landfills Annual Reporting - 2020	PRJ21071K
City of Terrace Landfill Closure Plan	PRJ21072
Surrey Soil Relocation To Chaumox	PRJ21073
Salmon Arm Landfill Fire Plan	PRJ21074K
Hartland Landfill DOCP Update	PRJ21075
Squamish Landfill Passive LFG Termination	PRJ21076
Mission Flats Landfill - Leachate Conveyance Support	PRJ21077K
Whitecourt Landfill Re-Grading Design and Specifications	PRJ21078
